"","Jahr","TagezumStichtag"
"34603",2013,59
"34683",2013,101
"34764",2013,72
"34768",2013,28
"34771",2010,173
"34898",2013,51
"34948",2013,33
"34992",2013,28
"35003",2013,27
"35028",2013,88
"35048",2013,21
"35055",2013,4
"35088",2013,12
"35110",2013,91
"35157",2013,37
"35199",2013,41
"35207",2013,82
"35263",2013,27
"35375",2013,77
"35441",2013,2
"35453",2013,54
"35486",2013,6
"35488",2013,33
"35494",2013,37
"35504",2013,270
"35590",2013,83
"35595",2013,12
"35596",2013,40
"35692",2012,29
"35778",2013,121
"35798",2013,50
"35801",2013,24
"35824",2013,51
"35829",2013,22
"35971",2013,107
"36020",2013,13
"36042",2013,111
"36103",2013,6
"36108",2013,29
"36171",2011,152
"36182",2013,4
"36255",2012,82
"36339",2013,76
"36353",2014,12
"36521",2013,80
"36560",2013,78
"36621",2013,26
"36663",2013,16
"36667",2013,60
"36709",2012,27
"36713",2012,12
"36740",2013,80
"36780",2013,75
"36802",2013,5
"36811",2013,78
"36900",2014,116
"36947",2013,29
"37069",2014,64
"37094",2013,197
"37101",2013,78
"37280",2014,35
"37283",2014,2
"37341",2014,30
"37454",2014,6
"37595",2014,21
"37602",2014,21
"37615",2014,53
"37617",2014,15
"37649",2013,72
"37658",2013,21
"37661",2013,139
"37819",2014,69
"38102",2014,9
"38104",2014,19
"38171",2010,100
"38195",2013,10
"38326",2014,79
"38351",2013,30
"38367",2013,1
"38444",2013,7
"38603",2014,71
"38752",2013,35
"38767",2013,31
"38895",2013,27
"38896",2013,6
"38943",2014,53
"39084",2013,21
"39208",2014,30
"39214",2014,3
"39233",2013,59
"39389",2014,50
"39394",2014,93
"39451",2013,58
"39558",2013,23
"39580",2013,134
"39620",2014,120
"39671",2013,71
"39688",2013,22
"39787",2013,111
"39827",2014,76
"39830",2014,17
"39904",2014,10
"39914",2014,2
"40017",2014,60
"40033",2014,99
"40145",2013,71
"40147",2013,4
"40284",2014,16
"40389",2014,28
"40401",2014,44
"40444",2014,35
"40464",2014,12
"40465",2014,6
"40555",2014,8
"40635",2014,181
"40651",2014,59
"40781",2014,78
"40789",2014,112
"40852",2014,9
"40854",2014,46
"41059",2014,41
"41065",2014,40
"41200",2014,33
"41230",2014,27
"41232",2014,245
"41235",2014,43
"41269",2014,42
"41274",2014,56
"41280",2014,44
"41314",2013,15
"41376",2014,20
"41395",2014,78
"41434",2014,57
"41544",2014,65
"41634",2014,12
"41785",2014,25
"41812",2014,22
"41938",2014,16
"42013",2014,44
"42039",2013,140
"42048",2013,52
"42132",2014,16
"42295",2011,54
"42436",2014,23
"42460",2014,97
"42480",2014,66
"42506",2013,18
"42674",2014,3
"42765",2012,54
"42851",2014,177
"42854",2014,5
"42857",2014,69
"42860",2014,114
"43116",2011,50
"43171",2014,36
"43209",2014,51
"43229",2014,9
"43248",2014,457
"43363",2014,170
"43434",2014,1
"43517",2014,18
"43611",2014,10
"43639",2014,56
"43673",2014,27
"43707",2014,109
"43803",2013,36
"43902",2014,30
"43931",2013,8
"43943",2013,1
"43944",2013,49
"44042",2011,54
"44062",2014,8
"44079",2014,39
"44111",2013,32
"44123",2011,370
"44200",2013,43
"44331",2014,60
"44345",2013,297
"44365",2013,41
"44853",2013,41
"44942",2014,16
"44999",2013,49
"45036",2014,22
"45077",2014,127
"45081",2014,29
"45193",2014,9
"45245",2014,49
"45331",2014,61
"45400",2014,115
"45422",2014,37
"45425",2014,11
"45449",2014,46
"45473",2014,6
"45514",2014,316
"45537",2014,116
"45595",2014,172
"45709",2014,41
"45724",2014,50
"45727",2015,68
"45748",2014,105
"45873",2014,11
"45904",2014,9
"46134",2013,121
"46161",2013,26
"46207",2015,16
"46210",2015,46
"46323",2015,71
"46330",2015,4
"46407",2014,19
"46410",2014,14
"46489",2015,72
"46514",2014,8
"46549",2014,114
"46563",2014,82
"46591",2012,21
"46717",2015,5
"46726",2015,5
"46751",2014,46
"46856",2015,56
"46918",2014,54
"47008",2015,97
"47024",2015,12
"47062",2014,8
"47169",2013,106
"47242",2014,10
"47262",2014,29
"47263",2014,15
"47353",2014,120
"47368",2014,72
"47486",2014,5
"47567",2014,60
"47639",2014,25
"47847",2014,360
"47882",2014,31
"47980",2015,3
"47993",2015,61
"48054",2014,1
"48067",2015,11
"48142",2014,1
"48194",2015,180
"48206",2015,11
"48270",2015,26
"48394",2015,93
"48425",2014,4
"48477",2015,6
"48478",2015,6
"48492",2015,8
"48519",2014,64
"48554",2015,14
"48561",2015,7
"48564",2015,104
"48587",2015,10
"48649",2015,68
"48727",2015,59
"48754",2013,29
"48806",2014,94
"48847",2015,83
"49048",2015,43
"49054",2015,134
"49154",2015,117
"49166",2015,23
"49195",2015,10
"49225",2015,67
"49240",2015,11
"49251",2015,3
"49262",2015,66
"49312",2014,1
"49321",2015,54
"49326",2015,22
"49330",2015,24
"49374",2015,30
"49404",2015,94
"49459",2014,18
"49518",2014,78
"49530",2014,115
"49547",2014,12
"49591",2015,61
"49625",2014,193
"49672",2015,48
"49693",2015,43
"49706",2015,11
"49839",2015,31
"49925",2014,32
"49965",2015,24
"49993",2015,261
"50173",2014,74
"50219",2015,104
"50270",2015,21
"50271",2015,33
"50312",2014,39
"50313",2014,30
"50328",2014,14
"50339",2015,201
"50381",2015,37
"50452",2014,8
"50458",2014,215
"50541",2015,23
"50569",2015,42
"50689",2014,71
"50826",2015,75
"50862",2013,29
"50865",2013,54
"50883",2013,24
"50975",2013,52
"50989",2013,59
"51033",2015,9
"51059",2015,70
"51080",2015,135
"51110",2014,98
"51194",2015,60
"51211",2015,108
"51218",2015,19
"51223",2015,123
"51299",2014,82
"51386",2015,352
"51389",2015,102
"51397",2015,137
"51511",2015,6
"51512",2015,6
"51609",2015,27
"51660",2014,133
"51715",2015,4
"51840",2015,47
"51855",2015,1
"51862",2015,143
"51883",2014,15
"51925",2013,270
"51931",2013,91
"51941",2013,28
"52091",2016,35
"52146",2013,14
"52199",2014,60
"52284",2015,15
"52311",2014,23
"52357",2014,58
"52360",2014,57
"52374",2015,159
"52386",2015,51
"52557",2013,50
"52714",2015,4
"52746",2015,93
"52783",2015,13
"52859",2013,16
"52974",2015,4
"52977",2015,45
"53006",2014,58
"53017",2014,3
"53026",2015,119
"53161",2015,11
"53199",2015,15
"53281",2015,42
"53332",2015,8
"53392",2015,27
"53402",2015,95
"53403",2015,16
"53513",2014,148
"53593",2015,232
"53867",2015,38
"53919",2013,1
"53968",2014,2
"53970",2014,21
"54148",2015,59
"54166",2015,26
"54203",2015,72
"54226",2015,30
"54241",2015,31
"54269",2015,22
"54291",2015,100
"54300",2015,154
"54321",2015,47
"54333",2015,34
"54472",2015,23
"54488",2013,152
"54635",2015,51
"54641",2015,23
"54643",2015,149
